#{"t_start": 1733699151.7185264, "env_id": null}
r,l,t
1384.0,478,26705.941312
2585.0,679,26711.111407
2652.0,633,26715.987665
1894.0,553,27404.438609
1894.0,590,27410.221009
1382.0,498,27413.091
2336.0,2742,27415.864159
2021.0,535,27415.942266
1615.0,546,27421.866735
1914.0,583,27425.565714
1638.0,541,27427.541152
1610.0,536,27433.654822
1474.0,499,27438.512821
2171.0,631,27439.469305
1740.0,569,27445.957647
1956.0,565,28138.518125
2422.0,642,28147.73219
1380.0,485,28149.110767
958.0,393,28156.257231
1965.0,561,28161.179153
2829.0,2774,28163.888438
2131.0,556,28168.200283
2132.0,645,28177.792905
1900.0,548,32420.541804
3532.0,879,32420.65623
2550.0,2847,32431.828609
2210.0,655,32435.085539
1619.0,554,32435.130671
2219.0,644,32437.311203
1472.0,473,32442.435701
1884.0,540,32448.67503
2567.0,649,32451.411094
2155.0,660,32459.457892
1975.0,565,32462.513183
1693.0,546,32464.656784
2264.0,559,33313.927522
2573.0,682,33321.109
2857.0,715,33324.466124
1476.0,499,33328.152618
964.0,415,33336.477757
2588.0,731,33342.32381
2203.0,618,33346.117512
2489.0,2752,33350.607544
1895.0,534,33356.482543
3546.0,779,33357.907613
1748.0,523,33359.817735
1456.0,495,33363.662453
1396.0,488,34272.193313
1630.0,508,34275.570381
2438.0,645,34276.78476
1877.0,539,34279.675273
2412.0,581,34288.233151
1883.0,558,34288.942509
2846.0,736,34296.700905
1907.0,524,34300.633996
2259.0,592,34302.845812
2257.0,556,34308.858163
1895.0,522,34311.991755
2433.0,634,34316.61159
1962.0,543,34981.107897
2932.0,788,34988.579835
1587.0,551,34991.702585
2938.0,748,34991.968839
2156.0,2740,34991.985005
2843.0,665,35001.358085
1362.0,512,35001.748813
1838.0,574,35002.657742
3096.0,706,35005.417214
1620.0,517,35011.701376
1980.0,539,35011.733017
3019.0,678,35015.870543
2064.0,544,35016.092429
1460.0,525,35660.058611
2623.0,657,35663.192327
1839.0,558,35665.601208
1968.0,553,35665.742658
1332.0,452,35670.208119
1763.0,530,35677.072602
2505.0,582,35681.677867
959.0,384,35681.881198
2240.0,608,35682.155831
1467.0,488,35689.619361
1349.0,486,35695.565778
1732.0,535,35697.561071
1955.0,599,35700.619253
2505.0,614,35708.961018
2263.0,582,36351.342108
2458.0,619,36353.192858
2244.0,566,36359.711344
3128.0,1258,36367.171875
3448.0,844,36367.830345
2950.0,789,36375.229232
1807.0,511,36377.156162
2231.0,618,36379.882506
1618.0,508,36385.039635
2065.0,537,36387.548349
1760.0,536,37066.928184
1791.0,530,37072.658649
2421.0,627,37078.658177
2602.0,649,37082.889088
2671.0,2942,37092.525309
1337.0,437,37093.647155
3181.0,771,37097.218229
1811.0,509,37105.498194
1828.0,529,37107.213439
3252.0,774,37916.028867
1725.0,547,37917.376077
2432.0,573,37919.420219
1477.0,477,37928.041507
2002.0,581,37929.123143
1997.0,573,37932.942436
1570.0,481,37940.360557
2286.0,2905,37941.830627
2247.0,634,37942.596081
1883.0,555,37945.177657
2088.0,555,37953.029097
1803.0,519,37954.837498
2152.0,555,37958.216825
